lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,z_init.1,z_init.2,sigma.1,sigma.2,z_solution.1.1,z_solution.2.1,z_solution.3.1,z_solution.4.1,z_solution.5.1,z_solution.6.1,z_solution.7.1,z_solution.8.1,z_solution.1.2,z_solution.2.2,z_solution.3.2,z_solution.4.2,z_solution.5.2,z_solution.6.2,z_solution.7.2,z_solution.8.2,z.1.1,z.2.1,z.3.1,z.4.1,z.5.1,z.6.1,z.7.1,z.8.1,z.1.2,z.2.2,z.3.2,z.4.2,z.5.2,z.6.2,z.7.2,z.8.2,y_init_rep.1,y_init_rep.2,y_rep.1.1,y_rep.2.1,y_rep.3.1,y_rep.4.1,y_rep.5.1,y_rep.6.1,y_rep.7.1,y_rep.8.1,y_rep.1.2,y_rep.2.2,y_rep.3.2,y_rep.4.2,y_rep.5.2,y_rep.6.2,y_rep.7.2,y_rep.8.2
# Adaptation terminated
# Step size = 0.357685
# Diagonal elements of inverse mass matrix:
# 0.00439122, 0.0188552, 0.0351749, 0.0280063, 0.0662911, 0.0594765
1.5189865,0.97371843,0.35768502,3,15,0,1.7265793,1.037227,1.0751903,1.0852306,0.31031057,0.66751796,0.34496107,2.1254252,0.97198757,0.2687345,0.48946318,1.8264549,0.51055576,0.37934461,2.0012701,0.68421438,2.4760027,1.1606356,0.38896641,0.47454881,2.2107664,0.48820076,0.5723359,2.1254252,0.97198757,0.2687345,0.48946318,1.8264549,0.51055576,0.37934461,2.0012701,0.68421438,2.4760027,1.1606356,0.38896641,0.47454881,2.2107664,0.48820076,0.5723359,1.133211,0.58811678,3.0513904,0.80592029,0.23389863,0.30680008,0.50298882,0.3225479,0.37025446,0.90060541,1.2233914,1.5641124,1.3601879,0.39012781,0.30134848,1.9418999,0.45974264,0.6247893
3.9268918,0.99955102,0.35768502,3,15,0,-0.48947636,1.1374464,1.119223,0.93442276,0.31172653,0.4389616,0.53389777,2.0920961,0.949146,0.22140268,0.45384716,1.9793186,0.344951,0.39200965,2.312377,0.63969489,2.8132109,1.2439426,0.39407888,0.56080674,2.1950825,0.43861977,0.98993411,2.0920961,0.949146,0.22140268,0.45384716,1.9793186,0.344951,0.39200965,2.312377,0.63969489,2.8132109,1.2439426,0.39407888,0.56080674,2.1950825,0.43861977,0.98993411,1.5840235,0.47775577,3.6047303,1.5836394,0.33590602,1.3116182,2.0370454,0.393749,1.2053331,1.4322474,0.94440795,4.7884406,1.7215409,0.72516055,0.75195206,3.1532925,0.39979528,0.67375871
2.8187514,0.97521952,0.35768502,3,15,0,-2.067751,1.0612618,1.1255115,1.1546359,0.31929201,0.39703575,0.61651393,2.1669044,0.71395408,0.2429807,0.51955056,1.9692796,0.37061264,0.40436012,2.1424448,0.8557514,2.5321211,1.0387723,0.35853508,0.59260963,2.0265229,0.42971114,0.79863003,2.1669044,0.71395408,0.2429807,0.51955056,1.9692796,0.37061264,0.40436012,2.1424448,0.8557514,2.5321211,1.0387723,0.35853508,0.59260963,2.0265229,0.42971114,0.79863003,0.8052208,0.2945845,1.9754437,0.74112604,0.24184991,0.33864497,1.9834151,0.26791851,0.21477104,2.5830306,0.49515615,3.75519,2.609314,0.47747531,0.66827292,4.1590407,0.30806754,1.6276998
3.8284577,0.91972352,0.35768502,3,7,0,-0.10378098,1.0629639,0.93142976,1.2454669,0.35685103,0.48870247,0.48024887,2.3591031,1.0953782,0.34208672,0.63874839,2.2208122,0.51710756,0.54272608,2.4524238,0.75516564,2.3894709,1.149542,0.41520698,0.62863537,1.9749819,0.46723708,0.94175153,2.3591031,1.0953782,0.34208672,0.63874839,2.2208122,0.51710756,0.54272608,2.4524238,0.75516564,2.3894709,1.149542,0.41520698,0.62863537,1.9749819,0.46723708,0.94175153,0.90658291,0.32686774,1.1458263,2.4643995,0.19571101,1.0190662,1.3737645,0.47765604,0.77067804,3.9669446,1.223344,2.0102188,1.3671558,0.61868495,0.46757627,2.3176484,0.34918965,2.050956
-0.82458212,0.93071318,0.35768502,3,7,0,1.3674755,0.87789562,0.97558506,1.5744405,0.45115251,0.37959315,0.55866957,1.9148805,0.7961604,0.44914772,0.77517393,1.8596286,0.69609655,0.56240632,1.7943182,1.0858292,1.6858173,0.83266188,0.38646075,0.62363671,1.6072007,0.50093233,0.56515912,1.9148805,0.7961604,0.44914772,0.77517393,1.8596286,0.69609655,0.56240632,1.7943182,1.0858292,1.6858173,0.83266188,0.38646075,0.62363671,1.6072007,0.50093233,0.56515912,1.9488458,0.6785724,1.5128377,0.91615911,0.55287922,0.62333622,1.1868252,0.88784276,0.78338689,1.4672643,1.0956171,2.7806352,1.1289298,0.11259906,0.75576154,2.4241025,0.28770573,0.49789292
0.70147163,0.94704912,0.35768502,3,7,0,3.9456343,0.9888664,0.87667272,1.4405529,0.45510772,0.39970382,0.65427197,2.1703247,1.1146145,0.50121154,0.8334278,2.1023698,0.68505644,0.71763339,2.1792005,0.90572007,1.894766,1.041772,0.46822906,0.75991527,1.6445067,0.51575757,0.99166933,2.1703247,1.1146145,0.50121154,0.8334278,2.1023698,0.68505644,0.71763339,2.1792005,0.90572007,1.894766,1.041772,0.46822906,0.75991527,1.6445067,0.51575757,0.99166933,1.4307952,0.31844824,1.8872602,1.1551465,0.36873482,0.64322461,3.3012203,0.94160912,0.56982112,3.690937,0.75241819,6.7614624,1.8640317,0.6000484,0.1872902,0.71194748,2.0597383,1.010077
0.043999433,0.93758668,0.35768502,4,15,0,3.7063771,1.0540727,0.94248663,1.1638692,0.39914565,0.90647749,0.28635872,2.1309101,1.2211398,0.39337545,0.65698145,2.0594236,0.58053822,0.5873983,2.2574245,0.73251822,2.1853351,1.2068976,0.46421179,0.66699635,1.8955662,0.50352048,1.022363,2.1309101,1.2211398,0.39337545,0.65698145,2.0594236,0.58053822,0.5873983,2.2574245,0.73251822,2.1853351,1.2068976,0.46421179,0.66699635,1.8955662,0.50352048,1.022363,0.48888449,0.60571241,6.1414129,0.19723173,0.20117179,0.76289322,2.0093911,0.98154959,0.73839708,8.1566197,1.2530829,1.2739365,0.89679872,0.36568704,0.4235026,1.4003576,0.4431287,0.68640732
-2.6881271,0.64638894,0.35768502,2,3,0,6.9399883,1.1028935,0.87820549,1.1106292,0.39635273,1.0100285,0.23816489,2.2372214,1.49615,0.3976666,0.65054071,2.2464472,0.58508097,0.61539949,2.5245,0.64594321,2.2904467,1.3335455,0.48254549,0.65163597,2.0046803,0.50244551,1.1633089,2.2372214,1.49615,0.3976666,0.65054071,2.2464472,0.58508097,0.61539949,2.5245,0.64594321,2.2904467,1.3335455,0.48254549,0.65163597,2.0046803,0.50244551,1.1633089,0.31040216,0.51727703,1.5205193,0.74857048,0.60567568,0.97574575,1.7116061,1.0561057,0.43363114,2.1016359,0.65561723,2.0763184,1.0646367,0.66886595,0.82923236,1.3450799,0.57259479,1.4083478
1.4794844,0.99382003,0.35768502,3,7,0,5.1652024,1.1282318,1.2265228,0.89088052,0.3108696,0.26964977,0.53306685,1.9463169,0.80765825,0.2031317,0.42639947,1.8272678,0.31104877,0.36249464,2.1021422,0.67860127,2.7911555,1.1994054,0.38498421,0.57541081,2.1534226,0.43261834,0.98569036,1.9463169,0.80765825,0.2031317,0.42639947,1.8272678,0.31104877,0.36249464,2.1021422,0.67860127,2.7911555,1.1994054,0.38498421,0.57541081,2.1534226,0.43261834,0.98569036,0.88058324,0.20643591,1.7666274,1.0822969,0.28830522,0.40652529,1.6628512,0.50231992,0.37572885,2.497473,0.16730342,1.6392376,0.36975259,0.72374501,0.34744515,4.2717316,1.7790719,1.7075059
2.0401551,0.98700184,0.35768502,3,7,0,0.24219148,1.1058556,0.97180353,1.0724598,0.29519832,0.55849232,0.56384053,2.3826222,1.170723,0.2559256,0.48919155,2.1130835,0.4718857,0.39740501,2.48279,0.5946108,2.7588828,1.2658647,0.39271244,0.46528639,2.3537586,0.46794624,0.66928569,2.3826222,1.170723,0.2559256,0.48919155,2.1130835,0.4718857,0.39740501,2.48279,0.5946108,2.7588828,1.2658647,0.39271244,0.46528639,2.3537586,0.46794624,0.66928569,0.61853431,0.091513567,2.2316716,1.7806352,0.21399196,0.58051372,3.1566373,0.26933983,0.4114511,4.1176731,0.41928269,4.7463154,1.3328109,0.37928785,0.81756641,1.2940742,0.68906544,0.43203191
